asset_id,asset_name,display_name,description,image,wide_image
-2144948459,DA_OI_Outfit_Enforcer_Gasmask_Off,Off,,,
-2144802109,DA_Inventory_LF_Raider02_ContainerSlot_Armor,Shield,,,
-2144226839,DA_PurchasableOffer_Skin_Hydroscav_01,Bog Walker,,images/Game/Pioneer/UI/Assets/Images/Battlepass/Skins/Hydroscav_Basic.png,
-2144213258,DA_OI_BackpackCharm_Sextant_01_A,Sextant,,images/Game/Pioneer/Items/Characters/Skins/BackpackCharm/Sextant_01_A/T_UI_Icon_BackpackCharm_Sextant_01_A.png,
-2143848294,DA_Inventory_LF_Combat_T1_ContainerItem_SafePocket,Safe Pocket,,,
-2143608986,DA_Inventory_LF_Utility_T3_Smoke_ContainerItem_SafePocket,Safe Pocket,,,
-2142772724,DA_Inventory_LF_Utility_T1_ContainerSlot_Weapon1,Primary Weapon,,,
-2141869424,DA_Persistence_QuestImage_TrialsDamageARCRivenTidesBeach,,,images/Game/Pioneer/UI/Assets/Images/Quests/Trials/T_UI_Trials_DamageArcBeachRiventide.png,
-2140928703,DA_Persistence_QuestImage_Generic002,,,images/Game/Pioneer/UI/Assets/Images/Quests/856x1380/T_UI_CantinaConversation_Big.png,images/Game/Pioneer/UI/Assets/Images/Quests/856x400/T_UI_CantinaConversation_Collapsed.png
-2140373449,DA_OI_Outfit_Vale_Helmet_Off,Off,,,
-2140294840,DA_OI_Outfit_AbandonedAstronaut,Cosmo,,images/Game/Pioneer/Items/Characters/Skins/Outfit/AbandonedAstronaut/T_UI_Icon_Outfit_AbandonedAstronaut.png,
-2140017279,DA_Inventory_LF_Transport_ContainerItem_Weapon1,Primary Weapon,,,
-2139366001,DA_OI_Outfit_Gsuit_Headgear_NoOuterHelmet,Cap Only,,,
-2139022397,DA_Persistence_GenericMedia_Hornet_Portrait,,,images/Game/Pioneer/UI/Assets/Images/Codex/WithinEntry/T_UI_Hornet_Portrait.png,
-2137191223,DA_QuestArea_FrozenTrails_MainPOI,Frozen Trail,Frozen Trail,,
-2136437061,DA_OI_Outfit_Hornveil_Leatherbag,Leather Bag,,,
-2136405593,DA_OI_BackpackContainer_Seasack_Color_Brown,Full Leather,,images/Game/Pioneer/Items/Characters/Skins/BackpackContainer/Seasack/MI_CharacterColorSchemeIcon_BackpackContainer_Seasack_Color_Brown.png,
-2135940426,DA_Emote_ComeOn,Come On,,images/Game/Pioneer/Items/Emotes/ComeOn/T_UI_Icon_Emote_ComeOn.png,
-2135781867,DA_OI_Outfit_Angler_MeshToggle1_Off,Off,,,
-2134681974,DA_Item_Salvage_AncientFortSecurityCode,Ancient Fort Security Code,Temporary security code to unlock the main gate.,images/Game/Pioneer/Items/Shared/SecurityCode_01/T_UI_Icon_Salvage_AncientFortSecurityCode.png,
-2133907672,DA_OI_BackpackContainer_Barrel_Color_Green,Green,,images/Game/Pioneer/Items/Characters/Skins/BackpackContainer/Barrel/MI_CharacterColorSchemeIcon_BackpackContainer_Barrel_Color_Green.png,
-2130292638,DA_Item_WeaponMod_Tech_ProjectileSplitter,Anvil Splitter,Tech mod for the Anvil that replaces its bullets with ones that split into 4 weaker projectiles.,images/Game/Pioneer/Items/WeaponMod/Tech_ProjectileSplitter/T_UI_Icon_WeaponMod_Tech_ProjectileSplitter.png,
-2129845066,DA_Inventory_LF_Looting_T3_Cautious_ContainerSlot_Weapon1,Primary Weapon,,,
-2128555916,DA_InteractQuest_Spaceport_Turnabout1_1,,,,
-2128028149,DA_PurchasableOffer_Skin_Enforcer_Red,Sforza,,images/Game/Pioneer/Items/Characters/Skins/Outfit/Enforcer/T_UI_Outfit_Enforcer.png,
